歌曲,专辑,发行时间,时长,ID,链接
晴天,叶惠美,2003-07-31,4分 29秒,97773,http://stream10.qqmusic.qq.com/97773.wma
Mojito,Mojito,2020-06-12,3分 5秒,268352018,http://stream10.qqmusic.qq.com/268352018.wma
一路向北,J III MP3 Player,2005-06-24,4分 55秒,5105986,http://stream10.qqmusic.qq.com/5105986.wma
七里香,七里香,2004-08-03,4分 59秒,102065756,http://stream10.qqmusic.qq.com/102065756.wma
稻香,魔杰座,2008-10-15,3分 43秒,449205,http://stream10.qqmusic.qq.com/449205.wma
不能说的秘密,不能说的秘密 电影原声带,2007-08-13,4分 56秒,403778,http://stream10.qqmusic.qq.com/403778.wma
夜曲,十一月的萧邦,2005-11-01,3分 46秒,718477,http://stream10.qqmusic.qq.com/718477.wma
告白气球,<em>周杰伦</em>的睡前故事,2016-06-24,3分 35秒,107192078,http://stream10.qqmusic.qq.com/107192078.wma
搁浅,七里香,2004-08-03,4分 0秒,102065750,http://stream10.qqmusic.qq.com/102065750.wma
给我一首歌的时间,魔杰座,2008-10-15,4分 13秒,101091484,http://stream10.qqmusic.qq.com/101091484.wma
以父之名,叶惠美,2003-07-31,5分 42秒,97771,http://stream10.qqmusic.qq.com/97771.wma
半岛铁盒,八度空间,2002-07-18,5分 19秒,97761,http://stream10.qqmusic.qq.com/97761.wma
简单爱,范特西,2001-09-20,4分 30秒,97744,http://stream10.qqmusic.qq.com/97744.wma
听妈妈的话,依然范特西,2006-09-05,4分 25秒,102066257,http://stream10.qqmusic.qq.com/102066257.wma
蒲公英的约定,我很忙,2007-11-02,4分 7秒,102340965,http://stream10.qqmusic.qq.com/102340965.wma
等你下课 (with 杨瑞代),等你下课,2018-01-18,4分 30秒,212877900,http://stream10.qqmusic.qq.com/212877900.wma
枫,十一月的萧邦,2005-11-01,4分 35秒,718479,http://stream10.qqmusic.qq.com/718479.wma
珊瑚海,十一月的萧邦,2005-11-01,4分 15秒,718486,http://stream10.qqmusic.qq.com/718486.wma
青花瓷,我很忙,2007-11-02,3分 59秒,410316,http://stream10.qqmusic.qq.com/410316.wma
安静,范特西,2001-09-20,5分 34秒,97743,http://stream10.qqmusic.qq.com/97743.wma
爱的飞行日记,跨时代,2010-05-18,4分 15秒,680285,http://stream10.qqmusic.qq.com/680285.wma
彩虹,我很忙,2007-11-02,4分 23秒,102340966,http://stream10.qqmusic.qq.com/102340966.wma
烟花易冷,跨时代,2010-05-18,4分 23秒,680279,http://stream10.qqmusic.qq.com/680279.wma
爱在西元前,范特西,2001-09-20,3分 54秒,97740,http://stream10.qqmusic.qq.com/97740.wma
园游会,七里香,2004-08-03,4分 15秒,102065753,http://stream10.qqmusic.qq.com/102065753.wma
发如雪,十一月的萧邦,2005-11-01,4分 59秒,718475,http://stream10.qqmusic.qq.com/718475.wma
说好的幸福呢,魔杰座,2008-10-15,4分 16秒,449200,http://stream10.qqmusic.qq.com/449200.wma
退后,依然范特西,2006-09-05,4分 21秒,102066449,http://stream10.qqmusic.qq.com/102066449.wma
最长的电影,我很忙,2007-11-02,3分 55秒,5177785,http://stream10.qqmusic.qq.com/5177785.wma
断了的弦,寻找<em>周杰伦</em>,2003-11-01,4分 57秒,97782,http://stream10.qqmusic.qq.com/97782.wma
我不配,我很忙,2007-11-02,4分 48秒,102700397,http://stream10.qqmusic.qq.com/102700397.wma
东风破,叶惠美,2003-07-31,5分 15秒,97775,http://stream10.qqmusic.qq.com/97775.wma
霍元甲,霍元甲,2006-01-20,4分 38秒,165121,http://stream10.qqmusic.qq.com/165121.wma
超人不会飞,跨时代,2010-05-18,5分 0秒,680287,http://stream10.qqmusic.qq.com/680287.wma
夜的第七章,依然范特西,2006-09-05,3分 48秒,466722,http://stream10.qqmusic.qq.com/466722.wma
花海,魔杰座,2008-10-15,4分 24秒,449198,http://stream10.qqmusic.qq.com/449198.wma
止战之殇,七里香,2004-08-03,4分 34秒,102065754,http://stream10.qqmusic.qq.com/102065754.wma
手写的从前,哎呦，不错哦,2014-12-26,4分 57秒,101787870,http://stream10.qqmusic.qq.com/101787870.wma
兰亭序,魔杰座,2008-10-15,4分 13秒,449201,http://stream10.qqmusic.qq.com/449201.wma
甜甜的,我很忙,2007-11-02,4分 3秒,102340969,http://stream10.qqmusic.qq.com/102340969.wma
开不了口,范特西,2001-09-20,4分 44秒,97745,http://stream10.qqmusic.qq.com/97745.wma
算什么男人,哎呦，不错哦,2014-12-26,4分 49秒,101369814,http://stream10.qqmusic.qq.com/101369814.wma
明明就,十二新作,2012-12-28,4分 20秒,3585884,http://stream10.qqmusic.qq.com/3585884.wma
本草纲目,依然范特西,2006-09-05,3分 29秒,102066448,http://stream10.qqmusic.qq.com/102066448.wma
轨迹,寻找<em>周杰伦</em>,2003-11-01,5分 26秒,97784,http://stream10.qqmusic.qq.com/97784.wma
红尘客栈,十二新作,2012-12-28,4分 34秒,5177680,http://stream10.qqmusic.qq.com/5177680.wma
可爱女人,Jay,2000-11-07,3分 59秒,97750,http://stream10.qqmusic.qq.com/97750.wma
黑色毛衣,十一月的萧邦,2005-11-01,4分 12秒,718480,http://stream10.qqmusic.qq.com/718480.wma
龙卷风,Jay,2000-11-07,4分 10秒,97758,http://stream10.qqmusic.qq.com/97758.wma
借口,七里香,2004-08-03,4分 20秒,102065757,http://stream10.qqmusic.qq.com/102065757.wma
听见下雨的声音,哎呦，不错哦,2014-12-26,4分 39秒,101787873,http://stream10.qqmusic.qq.com/101787873.wma
大笨钟,十二新作,2012-12-28,4分 2秒,3585890,http://stream10.qqmusic.qq.com/3585890.wma
星晴,Jay,2000-11-07,4分 19秒,97752,http://stream10.qqmusic.qq.com/97752.wma
回到过去,八度空间,2002-07-18,3分 53秒,97767,http://stream10.qqmusic.qq.com/97767.wma
说好不哭（with 五月天阿信）,说好不哭（with 五月天阿信）,2019-09-16,3分 42秒,237773700,http://stream10.qqmusic.qq.com/237773700.wma
暗号,八度空间,2002-07-18,4分 31秒,97762,http://stream10.qqmusic.qq.com/97762.wma
千里之外,依然范特西,2006-09-05,4分 16秒,102698215,http://stream10.qqmusic.qq.com/102698215.wma
说了再见,跨时代,2010-05-18,4分 42秒,680278,http://stream10.qqmusic.qq.com/680278.wma
龙拳,八度空间,2002-07-18,4分 34秒,97763,http://stream10.qqmusic.qq.com/97763.wma
飘移,十一月的萧邦,2005-11-01,4分 4秒,718485,http://stream10.qqmusic.qq.com/718485.wma
菊花台,依然范特西,2006-09-05,4分 53秒,102066450,http://stream10.qqmusic.qq.com/102066450.wma
飘移,十一月的萧邦,2005-11-01,4分 4秒,718485,http://stream10.qqmusic.qq.com/718485.wma
布拉格广场,看我72变,2003-03-07,4分 54秒,13410,http://stream10.qqmusic.qq.com/13410.wma
白色风车,依然范特西,2006-09-05,4分 32秒,102320103,http://stream10.qqmusic.qq.com/102320103.wma
迷迭香,依然范特西,2006-09-05,4分 11秒,102320104,http://stream10.qqmusic.qq.com/102320104.wma
不该 (with aMEI),<em>周杰伦</em>的睡前故事,2016-06-24,4分 50秒,107192076,http://stream10.qqmusic.qq.com/107192076.wma
半兽人,八度空间,2002-07-18,4分 7秒,97760,http://stream10.qqmusic.qq.com/97760.wma
外婆,七里香,2004-08-03,4分 4秒,102065748,http://stream10.qqmusic.qq.com/102065748.wma
阳光宅男,我很忙,2007-11-02,3分 42秒,102204538,http://stream10.qqmusic.qq.com/102204538.wma
画沙,袁咏琳 Cindy,2009-10-30,4分 33秒,3223506,http://stream10.qqmusic.qq.com/3223506.wma
屋顶,K情歌10,2013-02-22,5分 19秒,4758516,http://stream10.qqmusic.qq.com/4758516.wma
威廉古堡,范特西,2001-09-20,3分 56秒,97748,http://stream10.qqmusic.qq.com/97748.wma
最后的战役,八度空间,2002-07-18,4分 11秒,97769,http://stream10.qqmusic.qq.com/97769.wma
她的睫毛,叶惠美,2003-07-31,3分 52秒,97778,http://stream10.qqmusic.qq.com/97778.wma
爱情废柴,<em>周杰伦</em>的睡前故事,2016-06-24,4分 45秒,107192080,http://stream10.qqmusic.qq.com/107192080.wma
你听得到,叶惠美,2003-07-31,3分 50秒,5244390,http://stream10.qqmusic.qq.com/5244390.wma
三年二班,叶惠美,2003-07-31,4分 40秒,97774,http://stream10.qqmusic.qq.com/97774.wma
米兰的小铁匠,八度空间,2002-07-18,4分 0秒,97768,http://stream10.qqmusic.qq.com/97768.wma
浪漫手机,十一月的萧邦,2005-11-01,4分 0秒,718482,http://stream10.qqmusic.qq.com/718482.wma
反方向的钟,Jay,2000-11-07,4分 18秒,97759,http://stream10.qqmusic.qq.com/97759.wma
忍者,范特西,2001-09-20,2分 38秒,97746,http://stream10.qqmusic.qq.com/97746.wma
黑色幽默,Jay,2000-11-07,4分 43秒,97755,http://stream10.qqmusic.qq.com/97755.wma
牛仔很忙,我很忙,2007-11-02,2分 48秒,410314,http://stream10.qqmusic.qq.com/410314.wma
双截棍,范特西,2001-09-20,3分 21秒,97747,http://stream10.qqmusic.qq.com/97747.wma
印第安老斑鸠,Jay,2000-11-07,5分 4秒,97757,http://stream10.qqmusic.qq.com/97757.wma
我的地盘,七里香,2004-08-03,4分 4秒,102065755,http://stream10.qqmusic.qq.com/102065755.wma
心雨,依然范特西,2006-09-05,4分 29秒,7179645,http://stream10.qqmusic.qq.com/7179645.wma
刀马旦,Promise,2001-10-13,3分 12秒,13802,http://stream10.qqmusic.qq.com/13802.wma
Mine Mine,惊叹号,2011-11-11,4分 28秒,1018543,http://stream10.qqmusic.qq.com/1018543.wma
世界末日 (Live),范特西PLUS,2001-12-28,4分 25秒,718272,http://stream10.qqmusic.qq.com/718272.wma
